기획년도,주차,카테고리,라인,시즌이월,시즌,복종,소품종,성별,총입고수량,판매수량,판매액,평균택가,평균원가,총입고원가,총입고택가,매출원가계,판매택가계,주차별_평균_실판매가,월,월별_평균_실판매가,시즌별_평균_실판매가,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI
2021,2021-01-03,사계절_수트_블레이져(수트)_ZB,ZB,01_시즌,사계절,수트,블레이져(수트),1:남성,8419,480,58066516,199000,34632,291566808,1675381000,16623360,95520000,114810.0,1,122518.0,134016.0,120972.0,39.0,480,58066516,16623360,95520000,5.7,0.12
2021,2021-01-03,사계절_수트_수트팬츠_ZB,ZB,01_시즌,사계절,수트,수트팬츠,1:남성,10099,589,40054200,99000,16044,162031722,999801000,9450112,58311000,68805.0,1,66125.0,67813.0,68004.0,31.0,589,40054200,9450112,58311000,5.83,0.17
2021,2021-01-03,사계절_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,사계절,우븐 셔츠,드레스셔츠,1:남성,101915,1076,44692624,56567,7777,792558983,5764991833,8367693,60865733,45059.0,1,38629.0,32928.0,41536.0,27.0,1076,44692624,8367693,60865733,1.06,0.04
2021,2021-01-03,사계절_우븐 셔츠_드레스셔츠_ZC,ZC,01_시즌,사계절,우븐 셔츠,드레스셔츠,1:남성,1000,15,590520,39900,7535,7535000,39900000,113025,598500,39368.0,1,30812.0,28709.0,39368.0,1.0,15,590520,113025,598500,1.5,0.06
2021,2021-01-10,봄_가죽&FUR_가죽점퍼_ZA,ZA,01_시즌,봄,가죽&FUR,가죽점퍼,1:남성,1600,108,44542500,999000,204500,327200000,1598400000,22086000,107892000,392363.0,1,530682.0,455693.0,412431.0,59.0,161,96839900,32924500,160839000,10.06,0.17
2021,2021-01-10,봄_니트 셔츠_라운드_ZB,ZB,01_시즌,봄,니트 셔츠,라운드,1:남성,62476,315,14404290,69900,7574,473193224,4367072400,2385810,22018500,45728.0,1,41774.0,27610.0,45728.0,35.0,716,33385714,5945888,50048400,1.15,0.05
2021,2021-01-10,봄_니트 셔츠_라운드_ZE,ZE,01_시즌,봄,니트 셔츠,라운드,1:남성,17148,51,1362791,69900,6179,105957492,1198645200,315129,3564900,26721.0,1,24673.0,20712.0,26721.0,62.0,58,1577307,358382,4054200,0.34,0.01
2021,2021-01-10,봄_수트_블레이져(수트)_ZA,ZA,01_시즌,봄,수트,블레이져(수트),1:남성,5878,55,10073004,319000,53744,315905762,1875082000,2955906,17545000,194713.0,1,188353.0,150188.0,183146.0,43.0,164,29758404,9076292,54496000,2.79,0.06
2021,2021-01-10,봄_수트_블레이져(수트)_ZB,ZB,01_시즌,봄,수트,블레이져(수트),1:남성,8372,220,33021760,199000,40583,339762550,1666028000,8928304,43780000,149065.0,1,160160.0,128110.0,150099.0,25.0,414,62912701,16801445,82386000,4.95,0.12
2021,2021-01-10,봄_수트_블레이져(수트)_ZC,ZC,01_시즌,봄,수트,블레이져(수트),1:남성,2868,41,6291200,239000,46064,132112508,685452000,1888638,9799000,157551.0,1,160403.0,133058.0,153444.0,36.0,74,11943900,3408761,17686000,2.58,0.06
2021,2021-01-10,봄_수트_수트팬츠_ZA,ZA,01_시즌,봄,수트,수트팬츠,1:남성,7046,65,6892956,179000,30103,212107500,1261234000,1956711,11635000,116568.0,1,104290.0,82035.0,106045.0,41.0,193,19814846,6068156,36253667,2.74,0.06
2021,2021-01-10,봄_수트_수트팬츠_ZB,ZB,01_시즌,봄,수트,수트팬츠,1:남성,10050,227,16809800,99000,20850,209542500,994950000,4732950,22473000,73038.0,1,74954.0,62818.0,74052.0,25.0,470,35726710,9799500,46530000,4.68,0.11
2021,2021-01-10,봄_수트_수트팬츠_ZC,ZC,01_시즌,봄,수트,수트팬츠,1:남성,3438,37,2820500,125667,23973,82418028,432042000,886989,4649667,77910.0,1,79459.0,66706.0,76230.0,39.0,65,5312110,1558224,8168334,1.89,0.04
2021,2021-01-10,봄_스웨터_T-에리_ZB,ZB,01_시즌,봄,스웨터,T-에리,1:남성,9971,363,27211160,99900,9848,98194408,996102900,3574824,36263700,74962.0,1,48735.0,38264.0,74962.0,25.0,426,32535830,4195248,42557400,4.27,0.26
2021,2021-01-10,봄_스웨터_VEST_ZE,ZE,01_시즌,봄,스웨터,VEST,1:남성,3463,73,2039338,99900,8411,29127293,345953700,614003,7292700,27936.0,1,28887.0,23534.0,27936.0,72.0,79,2235225,664469,7892100,2.28,0.05
2021,2021-01-10,봄_스웨터_라운드_ZB,ZB,01_시즌,봄,스웨터,라운드,1:남성,39623,576,25320840,94900,8929,353793767,3760222700,5143104,54662400,36804.0,1,40590.0,37620.0,43960.0,54.0,1377,55412182,12295233,130677300,3.48,0.11
2021,2021-01-10,봄_스웨터_라운드_ZD,ZD,01_시즌,봄,스웨터,라운드,1:남성,1603,1600,42000000,89900,9315,14931945,144109700,14904000,143840000,26250.0,1,26250.0,26250.0,26250.0,71.0,1600,42000000,14904000,143840000,99.81,1.56
2021,2021-01-10,봄_스웨터_라운드_ZE,ZE,01_시즌,봄,스웨터,라운드,1:남성,17477,201,7380147,119900,8389,146614553,2095492300,1686189,24099900,36717.0,1,34919.0,27943.0,36717.0,69.0,229,8566103,1920549,27457100,1.31,0.04
2021,2021-01-10,봄_스웨터_오픈형(CARDIGAN)_ZB,ZB,01_시즌,봄,스웨터,오픈형(CARDIGAN),1:남성,8976,80,7023940,159900,14254,127943904,1435262400,1140320,12792000,87474.0,1,152746.0,79061.0,87799.0,45.0,207,21981070,2950578,33099300,2.31,0.13
2021,2021-01-10,봄_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,봄,우븐 셔츠,드레스셔츠,1:남성,10500,62,1933890,69900,5929,62254500,733950000,367598,4333800,31192.0,1,40055.0,30705.0,31192.0,55.0,124,5661930,735196,8667600,1.18,0.07
2021,2021-01-10,봄_우븐 셔츠_드레스셔츠_ZE,ZE,01_시즌,봄,우븐 셔츠,드레스셔츠,1:남성,33674,1181,21860648,79900,5213,175531337,2690552600,6156159,94361900,18444.0,1,18343.0,16385.0,18510.0,77.0,1321,24520519,6885932,105547900,3.92,0.09
2021,2021-01-10,봄_우븐 셔츠_캐쥬얼셔츠_ZB,ZB,01_시즌,봄,우븐 셔츠,캐쥬얼셔츠,1:남성,14425,180,5284280,69900,8024,115746200,1008307500,1444320,12582000,36010.0,1,38520.0,28867.0,29357.0,58.0,308,12716669,2471392,21529200,2.14,0.08
2021,2021-01-10,봄_우븐 셔츠_캐쥬얼셔츠_ZD,ZD,01_시즌,봄,우븐 셔츠,캐쥬얼셔츠,1:남성,284,1,48930,69900,8987,2552308,19851600,8987,69900,48930.0,1,48930.0,39845.0,48930.0,30.0,1,48930,8987,69900,0.35,0.01
2021,2021-01-10,봄_점퍼_패딩점퍼_ZB,ZB,01_시즌,봄,점퍼,패딩점퍼,1:남성,4219,128,19134988,199000,19336,81578584,839581000,2475008,25472000,149492.0,1,119480.0,103345.0,149492.0,25.0,128,19134988,2475008,25472000,3.03,0.18
2021,2021-01-10,봄_점퍼_패딩점퍼_ZD,ZD,01_시즌,봄,점퍼,패딩점퍼,1:남성,300,300,17775000,199000,27004,8101200,59700000,8101200,59700000,59250.0,1,59250.0,59250.0,59250.0,70.0,300,17775000,8101200,59700000,100.0,0.99
2021,2021-01-10,봄_조끼_패딩베스트_ZB,ZB,01_시즌,봄,조끼,패딩베스트,1:남성,10202,872,11606546,79000,10099,103029998,805958000,8806328,68888000,13310.0,1,30723.0,17099.0,13310.0,83.0,909,12438147,9179991,71811000,8.91,0.02
2021,2021-01-10,봄_코트_더블코트_ZB,ZB,01_시즌,봄,코트,더블코트,1:남성,3340,45,7071000,329000,34814,116278760,1098860000,1566630,14805000,157133.0,1,243505.0,144883.0,157133.0,52.0,90,21876000,3133260,29610000,2.69,0.14
2021,2021-01-10,봄_코트_더블코트_ZE,ZE,01_시즌,봄,코트,더블코트,1:남성,1977,4,576300,399000,36613,72383901,788823000,146452,1596000,144075.0,1,126554.0,99031.0,144075.0,64.0,4,576300,146452,1596000,0.2,0.01
2021,2021-01-10,봄_코트_싱글코트_ZB,ZB,01_시즌,봄,코트,싱글코트,1:남성,10358,-21,-7550500,249000,25439,263497162,2579142000,-534219,-5229000,359548.0,1,178906.0,119035.0,359548.0,-44.0,58,12095600,1465587,14442000,0.56,0.04
2021,2021-01-10,봄_코트_싱글코트_ZE,ZE,01_시즌,봄,코트,싱글코트,1:남성,5242,1,124659,329000,22554,118228068,1724618000,22554,329000,124659.0,1,106475.0,82188.0,124659.0,62.0,1,124659,22554,329000,0.02,0.0
2021,2021-01-10,봄_팬츠_팬츠(일반)_ZE,ZE,01_시즌,봄,팬츠,팬츠(일반),1:남성,3210,4,144300,79900,10383,33329430,256479000,41532,319600,36075.0,1,34365.0,28223.0,36075.0,55.0,4,144300,41532,319600,0.12,0.0
2021,2021-01-10,사계절_소품_벨트_ZB,ZB,01_시즌,사계절,소품,벨트,1:남성,8650,179,7074020,39900,7684,66462275,345135000,1375346,7142100,35884.0,1,37842.0,38165.0,39520.0,1.0,363,14517930,2789110,14483700,4.2,0.16
2021,2021-01-10,사계절_소품_신발_ZB,ZB,01_시즌,사계절,소품,신발,1:남성,3110,47,7291738,159900,40000,124400000,497289000,1880000,7515300,155143.0,1,157360.0,153362.0,155143.0,3.0,104,16230148,4160000,16629600,3.34,0.09
2021,2021-01-10,사계절_소품_양말_ZB,ZB,01_시즌,사계절,소품,양말,1:남성,14000,579,1906088,3300,820,11480000,46200000,474780,1910700,3292.0,1,3288.0,7095.0,3292.0,0.0,1196,3939244,980720,3946800,8.54,0.23
2021,2021-01-10,사계절_소품_타이_ZA,ZA,01_시즌,사계절,소품,타이,1:남성,33551,561,23890460,44900,6421,215419787,1506439900,3601994,25188900,42684.0,1,40019.0,43051.0,42585.0,5.0,1197,52135425,7685538,53745300,3.57,0.18
2021,2021-01-10,사계절_수트_블레이져(수트)_ZB,ZB,01_시즌,사계절,수트,블레이져(수트),1:남성,16087,478,61448100,199000,36269,583465838,3201313000,17336773,95122000,142698.0,1,122518.0,134016.0,128553.0,35.0,958,119514616,33960133,190642000,5.96,0.13
2021,2021-01-10,사계절_수트_수트팬츠_ZB,ZB,01_시즌,사계절,수트,수트팬츠,1:남성,19589,556,39623100,99000,17094,334850448,1939311000,9504153,55044000,75777.0,1,66125.0,67813.0,71265.0,28.0,1145,79677300,18954265,113355000,5.85,0.16
2021,2021-01-10,사계절_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,사계절,우븐 셔츠,드레스셔츠,1:남성,101915,1102,39019704,56567,7777,792558983,5764991833,8569887,62336467,39702.0,1,38629.0,32928.0,35408.0,37.0,2178,83712328,16937580,123202200,2.14,0.07
2021,2021-01-10,사계절_우븐 셔츠_드레스셔츠_ZC,ZC,01_시즌,사계절,우븐 셔츠,드레스셔츠,1:남성,1000,18,576330,39900,7535,7535000,39900000,135630,718200,32018.0,1,30812.0,28709.0,32018.0,20.0,33,1166850,248655,1316700,3.3,0.11
2021,2021-01-10,사계절_팬츠_팬츠(일반)_ZB,ZB,01_시즌,사계절,팬츠,팬츠(일반),1:남성,5008,0,0,69900,10105,50605840,350059200,0,0,,1,57987.0,41957.0,57987.0,17.0,0,0,0,0,0.0,0.0
2021,2021-01-10,여름_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,여름,우븐 셔츠,드레스셔츠,1:남성,42909,0,0,69900,6329,271571061,2999339100,0,0,,1,,24611.0,24611.0,65.0,0,0,0,0,0.0,0.0
2021,2021-01-10,여름_우븐 셔츠_드레스셔츠_ZE,ZE,01_시즌,여름,우븐 셔츠,드레스셔츠,1:남성,14000,0,0,79900,6547,91658000,1118600000,0,0,,1,28122.0,18773.0,28122.0,65.0,0,0,0,0,0.0,0.0
2021,2021-01-17,봄_가죽&FUR_가죽점퍼_ZA,ZA,01_시즌,봄,가죽&FUR,가죽점퍼,1:남성,1600,79,23101100,999000,204500,327200000,1598400000,16155500,78921000,294492.0,1,530682.0,455693.0,292419.0,71.0,240,119941000,49080000,239760000,15.0,0.18
2021,2021-01-17,봄_니트 셔츠_라운드_ZB,ZB,01_시즌,봄,니트 셔츠,라운드,1:남성,62476,164,3513314,69900,7574,473193224,4367072400,1242136,11463600,21423.0,1,41774.0,27610.0,21423.0,69.0,880,36899028,7188024,61512000,1.41,0.06
2021,2021-01-17,봄_니트 셔츠_라운드_ZE,ZE,01_시즌,봄,니트 셔츠,라운드,1:남성,17148,64,1635067,69900,6179,105957492,1198645200,395456,4473600,25548.0,1,24673.0,20712.0,25548.0,63.0,122,3212374,753838,8527800,0.71,0.02
2021,2021-01-17,봄_수트_블레이져(수트)_ZA,ZA,01_시즌,봄,수트,블레이져(수트),1:남성,5878,103,16569960,319000,53744,315905762,1875082000,5535606,32857000,156522.0,1,188353.0,150188.0,160873.0,50.0,267,46328364,14611898,87353000,4.54,0.09
2021,2021-01-17,봄_수트_블레이져(수트)_ZB,ZB,01_시즌,봄,수트,블레이져(수트),1:남성,8372,358,54366700,199000,40583,339762550,1666028000,14528786,71242000,149838.0,1,160160.0,128110.0,151862.0,24.0,772,117279401,31330231,153628000,9.22,0.22
2021,2021-01-17,봄_수트_블레이져(수트)_ZC,ZC,01_시즌,봄,수트,블레이져(수트),1:남성,2868,48,7462400,239000,46064,132112508,685452000,2211088,11472000,156152.0,1,160403.0,133058.0,155467.0,35.0,122,19406300,5619849,29158000,4.25,0.09
2021,2021-01-17,봄_수트_수트팬츠_ZA,ZA,01_시즌,봄,수트,수트팬츠,1:남성,7046,109,9297260,179000,30103,212107500,1261234000,3281254,19511000,82216.0,1,104290.0,82035.0,85296.0,52.0,302,29112106,9349410,55764667,4.29,0.08
2021,2021-01-17,봄_수트_수트팬츠_ZB,ZB,01_시즌,봄,수트,수트팬츠,1:남성,10050,447,33719000,99000,20850,209542500,994950000,9319950,44253000,74585.0,1,74954.0,62818.0,75434.0,24.0,917,69445710,19119450,90783000,9.12,0.21
2021,2021-01-17,봄_수트_수트팬츠_ZC,ZC,01_시즌,봄,수트,수트팬츠,1:남성,3438,45,3474500,125667,23973,82418028,432042000,1078770,5655000,77486.0,1,79459.0,66706.0,77211.0,39.0,110,8786610,2636994,13823334,3.2,0.06
2021,2021-01-17,봄_스웨터_T-에리_ZB,ZB,01_시즌,봄,스웨터,T-에리,1:남성,9971,129,2016947,99900,9848,98194408,996102900,1270392,12887100,15635.0,1,48735.0,38264.0,15635.0,84.0,555,34552777,5465640,55444500,5.57,0.26
2021,2021-01-17,봄_스웨터_VEST_ZE,ZE,01_시즌,봄,스웨터,VEST,1:남성,3463,42,1221007,99900,8411,29127293,345953700,353262,4195800,29072.0,1,28887.0,23534.0,29072.0,71.0,121,3456232,1017731,12087900,3.49,0.07
2021,2021-01-17,봄_스웨터_라운드_ZB,ZB,01_시즌,봄,스웨터,라운드,1:남성,39623,1099,48397976,94900,8929,353793767,3760222700,9812971,104295100,43700.0,1,40590.0,37620.0,44038.0,54.0,2476,103810158,22108204,234972400,6.25,0.2
2021,2021-01-17,봄_스웨터_라운드_ZD,ZD,01_시즌,봄,스웨터,라운드,1:남성,1603,0,0,89900,9315,14931945,144109700,0,0,,1,26250.0,26250.0,26250.0,71.0,1600,42000000,14904000,143840000,99.81,1.56
2021,2021-01-17,봄_스웨터_라운드_ZE,ZE,01_시즌,봄,스웨터,라운드,1:남성,17542,246,9019654,119900,8392,147212464,2103285800,2064432,29495400,36665.0,1,34919.0,27943.0,36665.0,69.0,475,17585757,3984981,56952500,2.71,0.08
2021,2021-01-17,봄_스웨터_오픈형(CARDIGAN)_ZB,ZB,01_시즌,봄,스웨터,오픈형(CARDIGAN),1:남성,8976,50,403700,159900,14254,127943904,1435262400,712700,7995000,68125.0,1,152746.0,79061.0,8074.0,95.0,257,22384770,3663278,41094300,2.86,0.13
2021,2021-01-17,봄_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,봄,우븐 셔츠,드레스셔츠,1:남성,10500,122,4381480,69900,5929,62254500,733950000,723338,8527800,35914.0,1,40055.0,30705.0,35914.0,49.0,246,10043410,1458534,17195400,2.34,0.12
2021,2021-01-17,봄_우븐 셔츠_드레스셔츠_ZE,ZE,01_시즌,봄,우븐 셔츠,드레스셔츠,1:남성,33674,715,13238386,79900,5213,175531337,2690552600,3727057,57128500,18492.0,1,18343.0,16385.0,18515.0,77.0,2036,37758905,10612989,162676400,6.05,0.14
2021,2021-01-17,봄_우븐 셔츠_캐쥬얼셔츠_ZB,ZB,01_시즌,봄,우븐 셔츠,캐쥬얼셔츠,1:남성,14425,284,9720620,69900,8024,115746200,1008307500,2278816,19851600,33869.0,1,38520.0,28867.0,34228.0,51.0,592,22437289,4750208,41380800,4.1,0.14
2021,2021-01-17,봄_우븐 셔츠_캐쥬얼셔츠_ZD,ZD,01_시즌,봄,우븐 셔츠,캐쥬얼셔츠,1:남성,284,0,0,69900,8987,2552308,19851600,0,0,,1,48930.0,39845.0,48930.0,30.0,1,48930,8987,69900,0.35,0.01
2021,2021-01-17,봄_점퍼_패딩점퍼_ZB,ZB,01_시즌,봄,점퍼,패딩점퍼,1:남성,4219,94,12504600,199000,19336,81578584,839581000,1817584,18706000,133028.0,1,119480.0,103345.0,133028.0,33.0,222,31639588,4292592,44178000,5.26,0.3
2021,2021-01-17,봄_점퍼_패딩점퍼_ZD,ZD,01_시즌,봄,점퍼,패딩점퍼,1:남성,300,0,0,199000,27004,8101200,59700000,0,0,,1,59250.0,59250.0,59250.0,70.0,300,17775000,8101200,59700000,100.0,0.99
2021,2021-01-17,봄_조끼_패딩베스트_ZB,ZB,01_시즌,봄,조끼,패딩베스트,1:남성,10202,106,2045878,79000,10099,103029998,805958000,1070494,8374000,19301.0,1,30723.0,17099.0,19301.0,76.0,1015,14484025,10250485,80185000,9.95,0.03
2021,2021-01-17,봄_코트_더블코트_ZB,ZB,01_시즌,봄,코트,더블코트,1:남성,3377,-12,-5411000,329000,34815,117570255,1111033000,-417780,-3948000,450917.0,1,243505.0,144883.0,450917.0,-37.0,78,16465000,2715480,25662000,2.31,0.1
2021,2021-01-17,봄_코트_더블코트_ZE,ZE,01_시즌,봄,코트,더블코트,1:남성,2009,5,737410,399000,36613,73555517,801591000,183065,1995000,147482.0,1,126554.0,99031.0,147482.0,63.0,9,1313710,329517,3591000,0.45,0.01
2021,2021-01-17,봄_코트_싱글코트_ZB,ZB,01_시즌,봄,코트,싱글코트,1:남성,10358,211,39707400,249000,25439,263497162,2579142000,5367629,52539000,149782.0,1,178906.0,119035.0,188187.0,24.0,269,51803000,6833216,66981000,2.6,0.15
2021,2021-01-17,봄_코트_싱글코트_ZE,ZE,01_시즌,봄,코트,싱글코트,1:남성,5242,4,510200,329000,22554,118228068,1724618000,90216,1316000,127550.0,1,106475.0,82188.0,127550.0,61.0,5,634859,112770,1645000,0.1,0.0
2021,2021-01-17,봄_팬츠_팬츠(일반)_ZE,ZE,01_시즌,봄,팬츠,팬츠(일반),1:남성,21637,26,1159659,76567,9298,201180826,1656672967,241748,1990733,43966.0,1,34365.0,28223.0,44602.0,42.0,30,1303959,283280,2310333,0.14,0.0
2021,2021-01-17,사계절_데님_데님팬츠_ZB,ZB,01_시즌,사계절,데님,데님팬츠,1:남성,6147,47,3658470,79900,11720,72045914,491145300,550864,3755300,77720.0,1,75709.0,51123.0,77840.0,3.0,47,3658470,550864,3755300,0.76,0.04
2021,2021-01-17,사계절_소품_벨트_ZB,ZB,01_시즌,사계절,소품,벨트,1:남성,8650,155,6325950,39900,7684,66462275,345135000,1190942,6184500,38656.0,1,37842.0,38165.0,40813.0,-2.0,518,20843880,3980052,20668200,5.99,0.23
2021,2021-01-17,사계절_소품_신발_ZB,ZB,01_시즌,사계절,소품,신발,1:남성,3524,51,7883449,159900,40000,140960000,563487600,2040000,8154900,154577.0,1,157360.0,153362.0,154577.0,3.0,155,24113597,6200000,24784500,4.4,0.11
2021,2021-01-17,사계절_소품_양말_ZB,ZB,01_시즌,사계절,소품,양말,1:남성,14000,517,1701810,3300,820,11480000,46200000,423940,1706100,3292.0,1,3288.0,7095.0,3292.0,0.0,1713,5641054,1404660,5652900,12.24,0.32
