일요일 날짜,년도,주차,할인율(%),이번 주 판매량,누적 판매량,목표 판매량,목표 판매량 차이,정가,기온(도),누적 매출,이번 주 보상
2024-01-07,2024,1,45,1048.82,1048.82,57300,56251.18,199000,-1.1,114792946,114762007.9
2024-01-14,2024,2,70,1655.36,2704.18,57300,54595.82,199000,1.1,213618056,98795082.3
2024-01-21,2024,3,10,163.57,2867.75,57300,54432.25,199000,-4.9,242913358,29265364.21
2024-01-28,2024,4,10,151.27,3019.02,57300,54280.98,199000,2.1,270006589,27063376.14
2024-02-04,2024,5,10,194.74,3213.76,57300,54086.24,199000,2.2,304883731,34847394.92
2024-02-11,2024,6,10,288.33,3502.08,57300,53797.92,199000,5.3,356522892,51609571.74
2024-02-18,2024,7,10,296.1,3798.18,57300,53501.82,199000,3.6,409553654,53001336.47
2024-02-25,2024,8,10,218.52,4016.7,57300,53283.3,199000,2.6,448690324,39107363.65
2024-03-03,2024,9,10,127.61,4144.31,57300,53155.69,199000,4.5,471545102,22825542.73
2024-03-10,2024,10,10,86.79,4231.09,57300,53068.91,199000,7.4,487088627,15514337.18
2024-03-17,2024,11,10,88.81,4319.9,57300,52980.1,199000,7.9,502994415,15876649.43
2024-03-24,2024,12,10,110.46,4430.36,57300,52869.64,199000,10.2,522777443,19753949.55
2024-03-31,2024,13,10,116.01,4546.38,57300,52753.62,199000,13.9,543555490,20749032.6
2024-04-07,2024,14,10,104.4,4650.78,57300,52649.22,199000,16.0,562253964,18669516.75
2024-04-14,2024,15,10,104.75,4755.53,57300,52544.47,199000,16.4,581015274,18732410.15
2024-04-21,2024,16,10,119.58,4875.11,57300,52424.89,199000,16.7,602431206,21387098.95
2024-04-28,2024,17,10,125.11,5000.21,57300,52299.79,199000,19.7,624837662,22377690.74
2024-05-05,2024,18,10,54.84,5055.05,57300,52244.95,199000,15.8,634659936,9793539.11
2024-05-12,2024,19,10,12.81,5067.86,57300,52232.14,199000,17.0,636953484,2264820.87
2024-05-19,2024,20,10,52.51,5120.37,57300,52179.63,199000,20.7,646357474,9375290.96
2024-05-26,2024,21,10,165.91,5286.28,57300,52013.72,199000,20.3,676072065,29685982.74
2024-06-02,2024,22,10,346.82,5633.1,57300,51666.9,199000,22.4,738187089,62086607.78
2024-06-09,2024,23,10,514.32,6147.42,57300,51152.58,199000,25.0,830302419,92087196.37
2024-06-16,2024,24,10,614.72,6762.14,57300,50537.86,199000,26.5,940398673,110068457.63
2024-06-23,2024,25,10,634.17,7396.31,57300,49903.69,199000,25.3,1053979074,113552954.27
2024-06-30,2024,26,10,599.14,7995.46,57300,49304.54,199000,24.7,1161285806,107279614.64
2024-07-07,2024,27,10,517.38,8512.83,57300,48787.17,199000,25.5,1253947912,92635273.01
2024-07-14,2024,28,10,393.46,8906.29,57300,48393.71,199000,26.8,1324416653,70442124.05
2024-07-21,2024,29,10,255.79,9162.08,57300,48137.92,199000,27.7,1370228476,45785347.7
2024-07-28,2024,30,10,155.25,9317.33,57300,47982.67,199000,29.2,1398033334,27778466.87
2024-08-04,2024,31,10,106.73,9424.06,57300,47875.94,199000,29.8,1417148377,19088711.35
2024-08-11,2024,32,10,97.04,9521.09,57300,47778.91,199000,30.3,1434527638,17352982.28
2024-08-18,2024,33,10,82.41,9603.51,57300,47696.49,199000,29.1,1449287996,14734125.1
2024-08-25,2024,34,10,55.22,9658.72,57300,47641.28,199000,27.9,1459177255,9863056.72
2024-09-01,2024,35,10,24.16,9682.88,57300,47617.12,199000,26.2,1463504243,4300798.08
2024-09-08,2024,36,10,26.0,9708.88,57300,47591.12,199000,27.6,1468160103,4629684.88
2024-09-15,2024,37,10,33.62,9742.5,57300,47557.5,199000,26.5,1474180610,5994350.46
2024-09-22,2024,38,10,34.88,9777.38,57300,47522.62,199000,22.2,1480428119,6221372.19
2024-09-29,2024,39,10,45.56,9822.94,57300,47477.06,199000,18.7,1488588076,8133843.97
2024-10-06,2024,40,10,71.37,9894.31,57300,47405.69,199000,17.8,1501369775,12755625.87
2024-10-13,2024,41,10,91.71,9986.01,57300,47313.99,199000,18.3,1517794554,16398756.33
2024-10-20,2024,42,10,54.98,10040.99,57300,47259.01,199000,14.4,1527640717,9820170.4
2024-10-27,2024,43,10,12.26,10053.24,57300,47246.76,199000,16.0,1529835599,2168897.03
2024-11-03,2024,44,10,-72.22,9981.02,57300,47318.98,199000,11.4,1516901120,-12960504.69
2024-11-10,2024,45,10,-91.45,9889.57,57300,47410.43,199000,15.2,1500521717,-16405478.54
2024-11-17,2024,46,10,-171.01,9718.56,57300,47581.44,199000,6.3,1469893369,-30654517.72
2024-11-24,2024,47,10,-252.97,9465.58,57300,47834.42,199000,3.8,1424585781,-45333897.09
2024-12-01,2024,48,10,-376.86,9088.72,57300,48211.28,199000,3.2,1357089628,-67522669.25
2024-12-08,2024,49,10,-494.25,8594.47,57300,48705.53,199000,1.0,1268569793,-88546623.55
2024-12-15,2024,50,10,-479.6,8114.88,57300,49185.12,199000,-0.6,1182674033,-85922811.81
2024-12-22,2024,51,10,-279.26,7835.62,57300,49464.38,199000,-0.9,1132658571,-50042667.47
2024-12-29,2024,52,10,33.68,7869.3,57300,49430.7,199000,2.4,1138690781,6005023.31
