일요일 날짜,년도,주차,할인율(%),이번 주 판매량,누적 판매량,목표 판매량,목표 판매량 차이,정가,기온(도),누적 매출,이번 주 보상
2024-01-07,2024,1,65,1508.78,1508.78,57300,55791.22,199000,-1.1,105086323,105052848.56
2024-01-14,2024,2,65,1540.22,3049.0,57300,54251.0,199000,1.1,212362969,107244095.34
2024-01-21,2024,3,60,1316.41,4365.42,57300,52934.58,199000,-4.9,317149558,104754828.19
2024-01-28,2024,4,60,1305.59,5671.01,57300,51628.99,199000,2.1,421074581,103894045.26
2024-02-04,2024,5,60,1350.52,7021.53,57300,50278.47,199000,2.2,528576252,107471503.94
2024-02-11,2024,6,60,1445.59,8467.12,57300,48832.88,199000,5.3,643644841,115039289.24
2024-02-18,2024,7,60,1454.83,9921.94,57300,47378.06,199000,3.6,759449052,115775783.92
2024-02-25,2024,8,60,1378.72,11300.66,57300,45999.34,199000,2.6,869195242,109718590.76
2024-03-03,2024,9,60,1289.28,12589.95,57300,44710.05,199000,4.5,971822168,102600100.35
2024-03-10,2024,10,60,1249.93,13839.88,57300,43460.12,199000,7.4,1071316781,99468536.47
2024-03-17,2024,11,60,1253.43,15093.31,57300,42206.69,199000,7.9,1171089531,99747426.54
2024-03-24,2024,12,60,1276.55,16369.85,57300,40930.15,199000,10.2,1272702632,101588542.03
2024-03-31,2024,13,60,1283.57,17653.43,57300,39646.57,199000,13.9,1374875094,102148675.01
2024-04-07,2024,14,60,1273.43,18926.86,57300,38373.14,199000,16.0,1476240435,101342316.34
2024-04-14,2024,15,60,1275.26,20202.12,57300,37097.88,199000,16.4,1577750834,101488140.58
2024-04-21,2024,16,60,1291.55,21493.67,57300,35806.33,199000,16.7,1680558198,102785880.03
2024-04-28,2024,17,60,1298.55,22792.22,57300,34507.78,199000,19.7,1783922926,103344023.65
2024-05-05,2024,18,60,1229.76,24021.98,57300,33278.02,199000,15.8,1881811817,97868923.89
2024-05-12,2024,19,60,1189.2,25211.17,57300,32088.83,199000,17.0,1976471740,94640669.34
2024-05-19,2024,20,60,1230.37,26441.54,57300,30858.46,199000,20.7,2074408990,97918735.72
2024-05-26,2024,21,60,1345.24,27786.78,57300,29513.22,199000,20.3,2181490307,107063608.49
2024-06-02,2024,22,60,1527.62,29314.4,57300,27985.6,199000,22.4,2303088948,121581850.14
2024-06-09,2024,23,60,1696.6,31011.0,57300,26289.0,199000,25.0,2438138191,135033469.37
2024-06-16,2024,24,60,1798.47,32809.47,57300,24490.53,199000,26.5,2581296087,143143201.92
2024-06-23,2024,25,60,1819.39,34628.86,57300,22671.14,199000,25.3,2726119626,144809935.77
2024-06-30,2024,26,60,1785.83,36414.69,57300,20885.31,199000,24.7,2868271999,142139841.92
2024-07-07,2024,27,60,1705.54,38120.23,57300,19179.77,199000,25.5,3004032781,135749274.56
2024-07-14,2024,28,60,1583.09,39703.32,57300,17596.68,199000,26.8,3130046978,126003638.54
2024-07-21,2024,29,60,1446.89,41150.22,57300,16149.78,199000,27.7,3245219677,115163008.94
2024-07-28,2024,30,60,1347.82,42498.04,57300,14801.96,199000,29.2,3352506411,107277853.6
2024-08-04,2024,31,60,1300.78,43798.82,57300,13501.18,199000,29.8,3456048139,103533626.48
2024-08-11,2024,32,60,1292.56,45091.37,57300,12208.63,199000,30.3,3558935539,102880075.2
2024-08-18,2024,33,60,1279.4,46370.77,57300,10929.23,199000,29.1,3660776115,101834018.24
2024-08-25,2024,34,60,1253.68,47624.45,57300,9675.55,199000,27.9,3760568890,99786969.73
2024-09-01,2024,35,60,1224.09,48848.55,57300,8451.45,199000,26.2,3858006676,97432715.39
2024-09-08,2024,36,60,1227.4,50075.95,57300,7224.05,199000,27.6,3955707760,97696749.45
2024-09-15,2024,37,60,1236.49,51312.44,57300,5987.56,199000,26.5,4054132486,98421133.22
2024-09-22,2024,38,60,1239.23,52551.67,57300,4748.33,199000,22.2,4152775233,98639898.84
2024-09-29,2024,39,60,1251.38,53803.05,57300,3496.95,199000,18.7,4252385090,99607758.05
2024-10-06,2024,40,60,1278.66,55081.71,57300,2218.29,199000,17.8,4354166186,101779765.15
2024-10-13,2024,41,60,1300.47,56382.17,57300,917.83,199000,18.3,4457683561,103516824.17
2024-10-20,2024,42,60,1265.21,57647.38,57300,-347.38,199000,14.4,4558394238,100710469.09
2024-10-27,2024,43,60,1223.96,58871.34,57300,-1571.34,199000,16.0,4655821479,97426297.84
2024-11-03,2024,44,60,1140.96,60012.3,57300,-2712.3,199000,11.4,4746641691,90818584.44
2024-11-10,2024,45,60,1123.19,61135.5,57300,-3835.5,199000,15.2,4836047957,89403965.45
2024-11-17,2024,46,60,1045.11,62180.6,57300,-4880.6,199000,6.3,4919238492,83187605.95
2024-11-24,2024,47,60,964.62,63145.22,57300,-5845.22,199000,3.8,4996022051,76780052.47
2024-12-01,2024,48,60,842.2,63987.42,57300,-6687.42,199000,3.2,5063061159,67035094.81
2024-12-08,2024,49,60,726.29,64713.71,57300,-7413.71,199000,1.0,5120873539,57807932.23
2024-12-15,2024,50,60,742.41,65456.12,57300,-8156.12,199000,-0.6,5179969307,59090874.64
2024-12-22,2024,51,60,944.22,66400.33,57300,-9100.33,199000,-0.9,5255129007,75154239.25
2024-12-29,2024,52,60,1258.63,67658.96,57300,-10358.96,199000,2.4,5355315915,100180692.69
