일요일 날짜,년도,주차,할인율(%),이번 주 판매량,누적 판매량,목표 판매량,목표 판매량 차이,정가,기온(도),누적 매출,이번 주 보상
2024-01-07,2024,1,20,473.87,473.87,57300,56826.13,199000,-1.1,75439367,75410954.2
2024-01-14,2024,2,20,503.99,977.85,57300,56322.15,199000,1.1,155674349,80206820.25
2024-01-21,2024,3,55,1201.13,2178.98,57300,55121.02,199000,-4.9,263235535,107533625.89
2024-01-28,2024,4,55,1190.16,3369.14,57300,53930.86,199000,2.1,369814282,106551781.55
2024-02-04,2024,5,55,1234.94,4604.09,57300,52695.91,199000,2.2,480403581,110562951.07
2024-02-11,2024,6,55,1329.86,5933.95,57300,51366.05,199000,5.3,599492485,119063221.33
2024-02-18,2024,7,55,1338.95,7272.9,57300,50027.1,199000,3.6,719395787,119878287.96
2024-02-25,2024,8,55,1262.7,8535.6,57300,48764.4,199000,2.6,832470638,113050469.02
2024-03-03,2024,9,55,1173.12,9708.72,57300,47591.28,199000,4.5,937523140,105028706.24
2024-03-10,2024,10,55,1133.62,10842.33,57300,46457.67,199000,7.4,1039038611,101492242.62
2024-03-17,2024,11,55,1136.96,11979.3,57300,45320.7,199000,7.9,1140853811,101792539.02
2024-03-24,2024,12,55,1159.94,13139.24,57300,44160.76,199000,10.2,1244726226,103850334.88
2024-03-31,2024,13,55,1166.82,14306.05,57300,42993.95,199000,13.9,1349214747,104467024.12
2024-04-07,2024,14,55,1156.53,15462.59,57300,41837.41,199000,16.0,1452782078,103546411.96
2024-04-14,2024,15,55,1158.21,16620.79,57300,40679.21,199000,16.4,1556499423,103697005.17
2024-04-21,2024,16,55,1174.35,17795.14,57300,39504.86,199000,16.7,1661662675,105143500.08
2024-04-28,2024,17,55,1181.21,18976.35,57300,38323.65,199000,19.7,1767439785,105757948.39
2024-05-05,2024,18,55,1112.27,20088.62,57300,37211.38,199000,15.8,1867043401,99585009.83
2024-05-12,2024,19,55,1071.56,21160.18,57300,36139.82,199000,17.0,1963001250,95939779.19
2024-05-19,2024,20,55,1112.58,22272.76,57300,35027.24,199000,20.7,2062632916,99614152.29
2024-05-26,2024,21,55,1227.31,23500.07,57300,33799.93,199000,20.3,2172538478,109888662.42
2024-06-02,2024,22,55,1409.54,24909.61,57300,32390.39,199000,22.4,2298762854,126208180.55
2024-06-09,2024,23,55,1578.37,26487.98,57300,30812.02,199000,25.0,2440105979,141327718.81
2024-06-16,2024,24,55,1680.09,28168.07,57300,29131.93,199000,26.5,2590558161,150437616.65
2024-06-23,2024,25,55,1700.87,29868.94,57300,27431.06,199000,25.3,2742871014,152299137.22
2024-06-30,2024,26,55,1667.16,31536.1,57300,25763.9,199000,24.7,2892165629,149281732.43
2024-07-07,2024,27,55,1586.72,33122.83,57300,24177.17,199000,25.5,3034256526,142078808.91
2024-07-14,2024,28,55,1464.13,34586.95,57300,22713.05,199000,26.8,3165369337,131101454.5
2024-07-21,2024,29,55,1327.78,35914.74,57300,21385.26,199000,27.7,3284272286,118892256.09
2024-07-28,2024,30,55,1228.57,37143.3,57300,20156.7,199000,29.2,3394290348,110007983.48
2024-08-04,2024,31,55,1181.37,38324.67,57300,18975.33,199000,29.8,3500082099,105782263.27
2024-08-11,2024,32,55,1173.0,39497.68,57300,17802.32,199000,30.3,3605124554,105033554.76
2024-08-18,2024,33,55,1159.71,40657.38,57300,16642.62,199000,29.1,3708976155,103843279.57
2024-08-25,2024,34,55,1133.83,41791.21,57300,15508.79,199000,27.9,3810510803,101526893.33
2024-09-01,2024,35,55,1104.1,42895.31,57300,14404.69,199000,26.2,3909382911,98864905.62
2024-09-08,2024,36,55,1107.26,44002.57,57300,13297.43,199000,27.6,4008538051,99148491.72
2024-09-15,2024,37,55,1116.2,45118.78,57300,12181.22,199000,26.5,4108494112,99949969.58
2024-09-22,2024,38,55,1118.8,46237.57,57300,11062.43,199000,22.2,4208682269,100182626.46
2024-09-29,2024,39,55,1130.8,47368.37,57300,9931.63,199000,18.7,4309945247,101258011.43
2024-10-06,2024,40,55,1157.93,48526.3,57300,8773.7,199000,17.8,4413637691,103688057.93
2024-10-13,2024,41,55,1179.59,49705.89,57300,7594.11,199000,18.3,4519270272,105628783.95
2024-10-20,2024,42,55,1144.19,50850.08,57300,6449.92,199000,14.4,4621732141,102458644.17
2024-10-27,2024,43,55,1102.79,51952.87,57300,5347.13,199000,16.0,4720486967,98752151.73
2024-11-03,2024,44,55,1019.64,52972.51,57300,4327.49,199000,11.4,4811795707,91306576.76
2024-11-10,2024,45,55,1001.73,53974.24,57300,3325.76,199000,15.2,4901500582,89703212.06
2024-11-17,2024,46,55,923.5,54897.73,57300,2402.27,199000,6.3,4984199581,82697797.46
2024-11-24,2024,47,55,842.86,55740.59,57300,1559.41,199000,3.8,5059677556,75477194.98
2024-12-01,2024,48,55,720.29,56460.89,57300,839.11,199000,3.2,5124179844,64501868.9
2024-12-08,2024,49,55,604.23,57065.12,57300,234.88,199000,1.0,5178288887,54108926.0
2024-12-15,2024,50,55,620.21,57685.33,57300,-385.33,199000,-0.6,5233828565,55539484.75
2024-12-22,2024,51,55,821.87,58507.2,57300,-1207.2,199000,-0.9,5307426987,73597818.99
2024-12-29,2024,52,55,1136.13,59643.33,57300,-2343.33,199000,2.4,5409167842,101739683.26
