,주차,카테고리,판매액,판매수량,매출원가,판매택가,실판매가,택가,할인율,할인율2
56,2021-01-10,조끼_패딩베스트_ZB,11606546,872,8581655,68888000,13310.259174311926,79000.0,83.15157066542794,83.15157066542794
57,2021-01-10,수트_블레이져(수트)_ZC,6291200,41,1836106,9119000,153443.9024390244,222414.63414634147,31.009979164382063,31.00997916438206
58,2021-01-10,수트_수트팬츠_ZC,2820500,37,843524,4223000,76229.72972972973,114135.13513513513,33.21098744968032,33.210987449680324
59,2021-01-10,우븐 셔츠_드레스셔츠_ZC,576330,18,135638,718200,32018.333333333332,39900.0,19.75355054302423,19.75355054302423
71,2021-01-17,가죽&FUR_가죽점퍼_ZA,23101100,79,16169000,78921000,292418.9873417721,999000.0,70.72883009591871,70.72883009591871
72,2021-01-17,수트_블레이져(수트)_ZA,16569960,103,5320673,32857000,160873.39805825244,319000.0,49.56946769333779,49.5694676933378
73,2021-01-17,수트_수트팬츠_ZA,9297260,109,3221681,19551000,85295.9633027523,179366.9724770642,52.44611528822055,52.446115288220554
75,2021-01-17,니트 셔츠_라운드_ZB,3513314,164,1456031,11463600,21422.646341463416,69900.0,69.3524372797376,69.3524372797376
76,2021-01-17,수트_블레이져(수트)_ZB,54366700,358,14706902,71242000,151862.2905027933,199000.0,23.68729120462648,23.687291204626483
77,2021-01-17,수트_수트팬츠_ZB,33719000,447,9411933,44253000,75434.00447427294,99000.0,23.80403588457279,23.804035884572798
78,2021-01-17,스웨터_T-에리_ZB,2016947,129,1270447,12887100,15635.248062015504,99900.0,84.34910103902351,84.34910103902352
79,2021-01-17,스웨터_라운드_ZB,48397976,1099,9704138,103810100,44038.194722474975,94458.68971792539,53.37835528527572,53.37835528527571
80,2021-01-17,스웨터_오픈형(CARDIGAN)_ZB,403700,50,749096,7995000,8074.0,159900.0,94.95059412132584,94.95059412132584
81,2021-01-17,우븐 셔츠_드레스셔츠_ZB,4381480,122,723350,8527800,35913.770491803276,69900.0,48.62121531930862,48.62121531930861
82,2021-01-17,우븐 셔츠_캐쥬얼셔츠_ZB,9720620,284,2282147,19851600,34227.535211267605,69900.0,51.03356908259284,51.03356908259284
83,2021-01-17,점퍼_패딩점퍼_ZB,12504600,94,1817544,18706000,133027.6595744681,199000.0,33.15192986207633,33.15192986207634
84,2021-01-17,코트_더블코트_ZB,-5411000,-12,-419210,-3948000,450916.6666666667,329000.0,-37.05673758865249,-37.05673758865248
85,2021-01-17,코트_싱글코트_ZB,39707400,211,5388271,52539000,188186.7298578199,249000.0,24.423000057100438,24.423000057100438
86,2021-01-17,데님_데님팬츠_ZB,3658470,47,551289,3755300,77839.78723404255,79900.0,2.5784890687827873,2.578489068782787
90,2021-01-17,수트_블레이져(수트)_ZB,77652310,596,20831125,118604000,130289.11073825504,199000.0,34.528085056153245,34.52808505615325
91,2021-01-17,수트_수트팬츠_ZB,48170692,694,11570208,68706000,69410.21902017291,99000.0,29.888667656390997,29.888667656391
92,2021-01-17,우븐 셔츠_드레스셔츠_ZB,37518580,1251,8963535,65284900,29990.871302957636,52186.17106314948,42.530998745498565,42.53099874549858
