,주차,카테고리,판매액,판매수량,매출원가,판매택가,실판매가,택가,할인율
435,2021-03-07,데님_데님팬츠_ZB,24259031,441,5176527,35235900,55009.140589569164,79900.0,0.31152514906671885
439,2021-03-07,수트_블레이져(수트)_ZB,103963313,940,34035147,187060000,110599.26914893618,199000.0,0.4442247781460494
440,2021-03-07,수트_수트팬츠_ZB,63956513,1056,18668281,104544000,60564.87973484849,99000.0,0.38823353803183347
441,2021-03-07,우븐 셔츠_드레스셔츠_ZB,66347753,2097,15257781,112800300,31639.36719122556,53791.27324749642,0.4118122646836932
442,2021-03-07,자켓_싱글재킷_ZB,15964500,138,3259296,27462000,115684.78260869565,199000.0,0.41866943412715757
443,2021-03-07,팬츠_팬츠(일반)_ZB,72479007,2032,20114457,135986800,35668.802657480315,66922.63779527559,0.46701439404412776
444,2021-03-07,니트 셔츠_라운드_ZB,21719996,536,2886372,30506400,40522.380597014926,56914.92537313433,0.2880183830278236
445,2021-03-07,니트 셔츠_티에리_ZB,0,0,0,0,0.0,0.0,0.0
446,2021-03-07,수트_블레이져(수트)_ZB,74062851,528,22289049,105072000,140270.55113636365,199000.0,0.29512285861123794
447,2021-03-07,수트_수트팬츠_ZB,43378451,626,13328047,61974000,69294.65015974441,99000.0,0.30005403879046044
450,2021-03-07,우븐 셔츠_드레스셔츠_ZB,39570813,1386,8772261,96881400,28550.37012987013,69900.0,0.591554075395277
451,2021-03-07,우븐 셔츠_캐쥬얼셔츠_ZB,31859150,591,3812798,41310900,53907.191201353635,69900.0,0.2287955479062427
452,2021-03-07,자켓_싱글재킷_ZB,2093480,14,294348,2786000,149534.2857142857,199000.0,0.24857142857142858
453,2021-03-07,점퍼_점퍼_ZB,84280781,821,17293677,174879000,102656.2496954933,213007.30816077953,0.5180623116554874
454,2021-03-07,팬츠_팬츠(일반)_ZB,0,0,0,0,0.0,0.0,0.0
455,2021-03-07,조끼_패딩베스트_ZB,11444704,842,8655634,66518000,13592.285035629453,79000.0,0.8279457590426652
456,2021-03-07,수트_블레이져(수트)_ZC,11710924,100,4409680,21460000,117109.24,214600.0,0.454290587138863
457,2021-03-07,수트_수트팬츠_ZC,4614300,78,1711044,8282000,59157.692307692305,106179.48717948717,0.44285196812364164
458,2021-03-07,우븐 셔츠_드레스셔츠_ZC,540103,20,150709,798000,27005.15,39900.0,0.32317919799498745
459,2021-03-07,수트_블레이져(수트)_ZC,29544692,195,9080126,44685000,151511.24102564104,229153.84615384616,0.33882305024057285
460,2021-03-07,수트_수트팬츠_ZC,15046749,187,4255322,22513000,80463.89839572193,120390.3743315508,0.3316417625372007
479,2021-03-14,가죽&FUR_가죽점퍼_ZA,6376000,14,2860000,13986000,455428.5714285714,999000.0,0.5441155441155442
480,2021-03-14,수트_블레이져(수트)_ZA,16207367,117,5746832,33783000,138524.50427350428,288743.58974358975,0.5202508066187136
481,2021-03-14,수트_수트팬츠_ZA,8401888,112,2963787,17528000,75016.85714285714,156500.0,0.5206590597900502
483,2021-03-14,수트_블레이져(수트)_ZA,30549249,188,8730619,48692000,162496.00531914894,259000.0,0.372602296065062
484,2021-03-14,수트_수트팬츠_ZA,20768717,238,5452927,33082000,87263.51680672269,139000.0,0.372204915059549
485,2021-03-14,자켓_싱글재킷_ZA,26665691,162,5857200,41958000,164603.03086419753,259000.0,0.36446706230039566
486,2021-03-14,팬츠_팬츠(일반)_ZA,20925849,233,3744700,32387000,89810.51072961373,139000.0,0.3538812177725631
487,2021-03-14,니트 셔츠_라운드_ZB,102616854,3486,26568259,243671400,29436.848537005164,69900.0,0.5788719808726014
488,2021-03-14,수트_블레이져(수트)_ZB,45005437,380,15487844,75620000,118435.3605263158,199000.0,0.40484743454112665
489,2021-03-14,수트_수트팬츠_ZB,23066342,381,7946230,37719000,60541.58005249344,99000.0,0.3884688883586521
